iter,t_granted,state,updated,P_total,Q_total,Vmag,Vang_rad,fault_idx,fault_bus,fault_active,fault_rf,fault_xf,fault_bus_vmag,fault_bus_vang_rad,event_line_idx,event_bus1,event_bus2,event_line_status,event_bus1_vmag,event_bus1_vang_rad,event_bus2_vmag,event_bus2_vang_rad,event_bus_angle_diff_deg,delta_min_deg,delta_max_deg,delta_spread_deg,delta_min_idx,delta_min_bus,delta_max_idx,delta_max_bus,omega_min_pu,omega_max_pu,omega_max_dev,omega_min_idx,omega_min_bus,omega_max_idx,omega_max_bus,vf_min_pu,vf_max_pu,vf_min_idx,vf_min_bus,vf_max_idx,vf_max_bus
0,0.0,INITIALIZED,1,0.1069983007347455,0.0185325956468372,0.9684216364453724,0.2438833568703659,Fault_Bus2_3PH,80,0.0,0.0,0.05,1.04,0.405368932395754,Line_3,2,12,1.0,0.9684216364453724,0.2438833568703659,0.99,0.266533611789582,-1.2977640117665032,12.673771715115862,86.55578293837551,73.88201122325965,GENROU_15,87,GENROU_1,10,1.0,1.0,0.0,GENROU_1,10,GENROU_1,10,1.0767475773455295,2.592586874903652,GENROU_6,46,GENROU_7,49
1,0.03,NEXT_STEP,0,0.1069983007347455,0.0185325956468372,0.9684216364453724,0.2438833568703659,Fault_Bus2_3PH,80,0.0,0.0,0.05,1.04,0.405368932395754,Line_3,2,12,1.0,0.9684216364453724,0.2438833568703659,0.99,0.266533611789582,-1.2977640117665032,12.673771715115862,86.55578293837551,73.88201122325965,GENROU_15,87,GENROU_1,10,1.0,1.0,0.0,GENROU_1,10,GENROU_1,10,1.0767475773455295,2.592586874903652,GENROU_6,46,GENROU_7,49
3,0.06,NEXT_STEP,1,0.1069983029885307,0.0185325923935258,0.9684216366781004,0.2438833566563786,Fault_Bus2_3PH,80,0.0,0.0,0.05,1.04,0.405368932395754,Line_3,2,12,1.0,0.9684216366781004,0.2438833566563786,0.9900000001065048,0.266533611789582,-1.297764024027089,12.673771715115862,86.55578293837551,73.88201122325965,GENROU_15,87,GENROU_1,10,1.0,1.0,0.0,GENROU_1,10,GENROU_1,10,1.0767475773455295,2.592586874903652,GENROU_6,46,GENROU_7,49
5,0.09,NEXT_STEP,0,0.1069983029875673,0.0185325924136057,0.9684216366781004,0.2438833566563786,Fault_Bus2_3PH,80,0.0,0.0,0.05,1.04,0.405368932395754,Line_3,2,12,1.0,0.9684216366781004,0.2438833566563786,0.9900000001065048,0.266533611789582,-1.297764024027089,12.673771715115862,86.55578293837551,73.88201122325965,GENROU_15,87,GENROU_1,10,1.0,1.0,0.0,GENROU_1,10,GENROU_1,10,1.0767475773455295,2.592586874903652,GENROU_6,46,GENROU_7,49
6,0.12,NEXT_STEP,0,0.1069983029875673,0.0185325924136057,0.9684216366781004,0.2438833566563786,Fault_Bus2_3PH,80,0.0,0.0,0.05,1.04,0.405368932395754,Line_3,2,12,1.0,0.9684216366781004,0.2438833566563786,0.9900000001065048,0.266533611789582,-1.297764024027089,12.673771715115862,86.55578293837551,73.88201122325965,GENROU_15,87,GENROU_1,10,1.0,1.0,0.0,GENROU_1,10,GENROU_1,10,1.0767475773455295,2.592586874903652,GENROU_6,46,GENROU_7,49
7,0.15,NEXT_STEP,0,0.1069983029875673,0.0185325924136057,0.9684216366781004,0.2438833566563786,Fault_Bus2_3PH,80,0.0,0.0,0.05,1.04,0.405368932395754,Line_3,2,12,1.0,0.9684216366781004,0.2438833566563786,0.9900000001065048,0.266533611789582,-1.297764024027089,12.673771715115862,86.55578293837551,73.88201122325965,GENROU_15,87,GENROU_1,10,1.0,1.0,0.0,GENROU_1,10,GENROU_1,10,1.0767475773455295,2.592586874903652,GENROU_6,46,GENROU_7,49
8,0.18,NEXT_STEP,0,0.1069983029875673,0.0185325924136057,0.9684216366781004,0.2438833566563786,Fault_Bus2_3PH,80,0.0,0.0,0.05,1.04,0.405368932395754,Line_3,2,12,1.0,0.9684216366781004,0.2438833566563786,0.9900000001065048,0.266533611789582,-1.297764024027089,12.673771715115862,86.55578293837551,73.88201122325965,GENROU_15,87,GENROU_1,10,1.0,1.0,0.0,GENROU_1,10,GENROU_1,10,1.0767475773455295,2.592586874903652,GENROU_6,46,GENROU_7,49
9,0.21,NEXT_STEP,0,0.1069983029875673,0.0185325924136057,0.9684216366781004,0.2438833566563786,Fault_Bus2_3PH,80,0.0,0.0,0.05,1.04,0.405368932395754,Line_3,2,12,1.0,0.9684216366781004,0.2438833566563786,0.9900000001065048,0.266533611789582,-1.297764024027089,12.673771715115862,86.55578293837551,73.88201122325965,GENROU_15,87,GENROU_1,10,1.0,1.0,0.0,GENROU_1,10,GENROU_1,10,1.0767475773455295,2.592586874903652,GENROU_6,46,GENROU_7,49
10,0.24,NEXT_STEP,0,0.1069983029875673,0.0185325924136057,0.9684216366781004,0.2438833566563786,Fault_Bus2_3PH,80,0.0,0.0,0.05,1.04,0.405368932395754,Line_3,2,12,1.0,0.9684216366781004,0.2438833566563786,0.9900000001065048,0.266533611789582,-1.297764024027089,12.673771715115862,86.55578293837551,73.88201122325965,GENROU_15,87,GENROU_1,10,1.0,1.0,0.0,GENROU_1,10,GENROU_1,10,1.0767475773455295,2.592586874903652,GENROU_6,46,GENROU_7,49
11,0.27,NEXT_STEP,0,0.1069983029875673,0.0185325924136057,0.9684216366781004,0.2438833566563786,Fault_Bus2_3PH,80,0.0,0.0,0.05,1.04,0.405368932395754,Line_3,2,12,1.0,0.9684216366781004,0.2438833566563786,0.9900000001065048,0.266533611789582,-1.297764024027089,12.673771715115862,86.55578293837551,73.88201122325965,GENROU_15,87,GENROU_1,10,1.0,1.0,0.0,GENROU_1,10,GENROU_1,10,1.0767475773455295,2.592586874903652,GENROU_6,46,GENROU_7,49
