t_granted,feeder,iter,state,vupdate,source_v_pu,source_ang_deg,dist_bus,vavg_pu,va_pu,vb_pu,vc_pu
0.03,1,1,NEXT_STEP,False,0.968422,13.973486,regxfmr_hvmv_sub_lsb,0.952948,0.953267,0.952663,0.952915
0.06,1,3,NEXT_STEP,False,0.968422,13.973487,regxfmr_hvmv_sub_lsb,0.952948,0.953267,0.952663,0.952915
0.09,1,5,NEXT_STEP,False,0.968422,13.973487,regxfmr_hvmv_sub_lsb,0.952948,0.953267,0.952663,0.952915
0.12,1,6,NEXT_STEP,False,0.968422,13.973487,regxfmr_hvmv_sub_lsb,0.952948,0.953267,0.952663,0.952915
0.15,1,7,NEXT_STEP,False,0.968422,13.973487,regxfmr_hvmv_sub_lsb,0.952948,0.953267,0.952663,0.952915
0.18,1,8,NEXT_STEP,False,0.968422,13.973487,regxfmr_hvmv_sub_lsb,0.952948,0.953267,0.952663,0.952915
0.21,1,9,NEXT_STEP,False,0.968422,13.973487,regxfmr_hvmv_sub_lsb,0.952948,0.953267,0.952663,0.952915
0.24,1,10,NEXT_STEP,False,0.968422,13.973487,regxfmr_hvmv_sub_lsb,0.952948,0.953267,0.952663,0.952915
0.27,1,11,NEXT_STEP,False,0.968422,13.973487,regxfmr_hvmv_sub_lsb,0.952948,0.953267,0.952663,0.952915
0.3,1,12,NEXT_STEP,False,0.968422,13.973487,regxfmr_hvmv_sub_lsb,0.952948,0.953267,0.952663,0.952915
0.33,1,13,NEXT_STEP,False,0.968422,13.973487,regxfmr_hvmv_sub_lsb,0.952948,0.953267,0.952663,0.952915
0.36,1,14,NEXT_STEP,False,0.968422,13.973487,regxfmr_hvmv_sub_lsb,0.952948,0.953267,0.952663,0.952915
0.39,1,15,NEXT_STEP,False,0.968422,13.973487,regxfmr_hvmv_sub_lsb,0.952948,0.953267,0.952663,0.952915
0.42,1,16,NEXT_STEP,False,0.968422,13.973487,regxfmr_hvmv_sub_lsb,0.952948,0.953267,0.952663,0.952915
0.45,1,17,NEXT_STEP,False,0.968422,13.973487,regxfmr_hvmv_sub_lsb,0.952948,0.953267,0.952663,0.952915
0.48,1,18,NEXT_STEP,False,0.968422,13.973487,regxfmr_hvmv_sub_lsb,0.952948,0.953267,0.952663,0.952915
0.51,1,19,NEXT_STEP,False,0.968422,13.973487,regxfmr_hvmv_sub_lsb,0.952948,0.953267,0.952663,0.952915
0.54,1,20,NEXT_STEP,False,0.968422,13.973487,regxfmr_hvmv_sub_lsb,0.952948,0.953267,0.952663,0.952915
0.57,1,21,NEXT_STEP,False,0.968422,13.973487,regxfmr_hvmv_sub_lsb,0.952948,0.953267,0.952663,0.952915
0.6,1,22,NEXT_STEP,False,0.968422,13.973487,regxfmr_hvmv_sub_lsb,0.952948,0.953267,0.952663,0.952915
0.63,1,23,NEXT_STEP,False,0.968422,13.973487,regxfmr_hvmv_sub_lsb,0.952948,0.953267,0.952663,0.952915
0.66,1,24,NEXT_STEP,False,0.968422,13.973487,regxfmr_hvmv_sub_lsb,0.952948,0.953267,0.952663,0.952915
0.69,1,25,NEXT_STEP,False,0.968422,13.973487,regxfmr_hvmv_sub_lsb,0.952948,0.953267,0.952663,0.952915
0.72,1,26,NEXT_STEP,False,0.968422,13.973487,regxfmr_hvmv_sub_lsb,0.952948,0.953267,0.952663,0.952915
0.75,1,27,NEXT_STEP,False,0.968422,13.973487,regxfmr_hvmv_sub_lsb,0.952948,0.953267,0.952663,0.952915
0.78,1,28,NEXT_STEP,False,0.968422,13.973487,regxfmr_hvmv_sub_lsb,0.952948,0.953267,0.952663,0.952915
0.81,1,29,NEXT_STEP,False,0.968422,13.973487,regxfmr_hvmv_sub_lsb,0.952948,0.953267,0.952663,0.952915
0.84,1,30,NEXT_STEP,False,0.968422,13.973487,regxfmr_hvmv_sub_lsb,0.952948,0.953267,0.952663,0.952915
0.87,1,31,NEXT_STEP,False,0.968422,13.973487,regxfmr_hvmv_sub_lsb,0.952948,0.953267,0.952663,0.952915
0.9,1,32,NEXT_STEP,False,0.968422,13.973487,regxfmr_hvmv_sub_lsb,0.952948,0.953267,0.952663,0.952915
0.93,1,33,NEXT_STEP,False,0.968422,13.973487,regxfmr_hvmv_sub_lsb,0.952948,0.953267,0.952663,0.952915
