t_granted,feeder,iter,state,vupdate,source_v_pu,source_ang_deg,dist_bus,vavg_pu,va_pu,vb_pu,vc_pu,vpos_pu,alert_signal,alert_bus,alert_v_pu,alert_vpos_pu,alert_vavg_pu,fidvr_stage,tx_v_pu,motor_p_scale,motor_q_scale,caps_status,caps_on,cap_fraction,tap_pu,restore_frac,thermal_restore_frac,motor_slip_avg,motor_slip_max,motor_pf_avg,motor_running_groups,motor_stalled_groups,motor_tripped_groups,motor_restoring_groups,motor_contactor_open_groups,motor_thermal_trip_groups,motor_locked_out_groups,dynamics_enabled,tap_reg1,tap_reg2,tap_reg3,cap1_state,cap1_enabled,cap2_state,cap2_enabled,fidvr_stage_effective
0.003,1,1,NEXT_STEP,False,1.008671,-10.163595,675,1.00357,0.986094,1.051992,0.972624,1.003331,dist_bus,675,1.003331,1.003331,1.00357,BASELINE,1.008671,1.0,1.0,on,True,1.0,1.05,1.0,0.0,,,,12,0,0,0,0,0,0,False,1.05625,1.0375,1.05625,on,True,on,True,BASELINE
0.006,1,3,NEXT_STEP,False,1.00867,-10.163594,675,1.003569,0.986093,1.051991,0.972623,1.00333,dist_bus,675,1.00333,1.00333,1.003569,BASELINE,1.00867,1.0,1.0,on,True,1.0,1.05,1.0,0.0,,,,12,0,0,0,0,0,0,False,1.05625,1.0375,1.05625,on,True,on,True,BASELINE
0.009,1,5,NEXT_STEP,False,1.00867,-10.163597,675,1.003569,0.986093,1.051991,0.972623,1.00333,dist_bus,675,1.00333,1.00333,1.003569,BASELINE,1.00867,1.0,1.0,on,True,1.0,1.05,1.0,0.0,,,,12,0,0,0,0,0,0,False,1.05625,1.0375,1.05625,on,True,on,True,BASELINE
0.012,1,7,NEXT_STEP,False,1.00867,-10.163597,675,1.003569,0.986093,1.051991,0.972623,1.00333,dist_bus,675,1.00333,1.00333,1.003569,BASELINE,1.00867,1.0,1.0,on,True,1.0,1.05,1.0,0.0,,,,12,0,0,0,0,0,0,False,1.05625,1.0375,1.05625,on,True,on,True,BASELINE
0.015,1,9,NEXT_STEP,False,1.00867,-10.163597,675,1.003569,0.986093,1.051991,0.972623,1.00333,dist_bus,675,1.00333,1.00333,1.003569,BASELINE,1.00867,1.0,1.0,on,True,1.0,1.05,1.0,0.0,,,,12,0,0,0,0,0,0,False,1.05625,1.0375,1.05625,on,True,on,True,BASELINE
0.018,1,11,NEXT_STEP,False,1.00867,-10.163597,675,1.003569,0.986093,1.051991,0.972623,1.00333,dist_bus,675,1.00333,1.00333,1.003569,BASELINE,1.00867,1.0,1.0,on,True,1.0,1.05,1.0,0.0,,,,12,0,0,0,0,0,0,False,1.05625,1.0375,1.05625,on,True,on,True,BASELINE
0.021,1,13,NEXT_STEP,False,1.00867,-10.163597,675,1.003569,0.986093,1.051991,0.972623,1.00333,dist_bus,675,1.00333,1.00333,1.003569,BASELINE,1.00867,1.0,1.0,on,True,1.0,1.05,1.0,0.0,,,,12,0,0,0,0,0,0,False,1.05625,1.0375,1.05625,on,True,on,True,BASELINE
0.024,1,15,NEXT_STEP,False,1.00867,-10.163597,675,1.003569,0.986093,1.051991,0.972623,1.00333,dist_bus,675,1.00333,1.00333,1.003569,BASELINE,1.00867,1.0,1.0,on,True,1.0,1.05,1.0,0.0,,,,12,0,0,0,0,0,0,False,1.05625,1.0375,1.05625,on,True,on,True,BASELINE
0.027,1,17,NEXT_STEP,False,1.00867,-10.163597,675,1.003569,0.986093,1.051991,0.972623,1.00333,dist_bus,675,1.00333,1.00333,1.003569,BASELINE,1.00867,1.0,1.0,on,True,1.0,1.05,1.0,0.0,,,,12,0,0,0,0,0,0,False,1.05625,1.0375,1.05625,on,True,on,True,BASELINE
0.03,1,19,NEXT_STEP,False,1.00867,-10.163597,675,1.003569,0.986093,1.051991,0.972623,1.00333,dist_bus,675,1.00333,1.00333,1.003569,BASELINE,1.00867,1.0,1.0,on,True,1.0,1.05,1.0,0.0,,,,12,0,0,0,0,0,0,False,1.05625,1.0375,1.05625,on,True,on,True,BASELINE
