iter,outer_iter,t_granted,cosim_dt,tx_tds_step,state,updated,P_total,Q_total,Vmag,Vang_rad,fault_idx,fault_bus,fault_active,fault_rf,fault_xf,fault_bus_vmag,fault_bus_vang_rad,event_line_idx,event_bus1,event_bus2,event_line_status,event_bus1_vmag,event_bus1_vang_rad,event_bus2_vmag,event_bus2_vang_rad,event_bus_angle_diff_deg,postfault_line_idx,postfault_bus1,postfault_bus2,postfault_line_status,delta_min_deg,delta_max_deg,delta_spread_deg,delta_min_idx,delta_min_bus,delta_max_idx,delta_max_bus,omega_min_pu,omega_max_pu,omega_max_dev,omega_min_idx,omega_min_bus,omega_max_idx,omega_max_bus,vf_min_pu,vf_max_pu,vf_min_idx,vf_min_bus,vf_max_idx,vf_max_bus,omega_GENROU_1_pu,omega_GENROU_1_bus,omega_GENROU_2_pu,omega_GENROU_2_bus,omega_GENROU_3_pu,omega_GENROU_3_bus,omega_GENROU_4_pu,omega_GENROU_4_bus,omega_GENROU_5_pu,omega_GENROU_5_bus
0,0,0.0,0.0,0.03,INITIALIZED,1,0.0358461009263928,0.0172867990832274,1.008670488072985,-0.1773881718208639,Fault_Interface,14,0.0,0.0,0.3,1.008670488072985,-0.1773881718208639,,,,,,,,,,,,,,10.947320231857905,63.35299760041254,52.40567736855464,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.4854502589312455,1.994145163492672,GENROU_5,8,GENROU_2,2,1.0,1,1.0,2,1.0,3,1.0,6,1.0,8
1,1,0.003,0.003,0.03,NEXT_STEP,0,0.0358461009263928,0.0172867990832274,1.008670488072985,-0.1773881718208639,Fault_Interface,14,0.0,0.0,0.3,1.008670488072985,-0.1773881718208639,,,,,,,,,,,,,,10.947320231857905,63.35299760041254,52.40567736855464,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.4854502589312455,1.994145163492672,GENROU_5,8,GENROU_2,2,1.0,1,1.0,2,1.0,3,1.0,6,1.0,8
3,2,0.006,0.003,0.03,NEXT_STEP,1,0.035846313195212,0.0172869843929039,1.008670395103589,-0.1773882262266639,Fault_Interface,14,0.0,0.0,0.3,1.008670395103589,-0.1773882262266639,,,,,,,,,,,,,,10.947320231857905,63.35299760041254,52.40567736855464,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.485450259495788,1.9941451637526488,GENROU_5,8,GENROU_2,2,1.0,1,1.0,2,1.0,3,1.0,6,1.0,8
5,2,0.009,0.003,0.03,NEXT_STEP,1,0.0358463222991198,0.0172869914582849,1.008670390653446,-0.1773882293608788,Fault_Interface,14,0.0,0.0,0.3,1.008670390653446,-0.1773882293608788,,,,,,,,,,,,,,10.947320231857905,63.35299760041254,52.40567736855464,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.485450242474655,1.9941451642567247,GENROU_5,8,GENROU_2,2,1.0,1,1.0,2,1.0,3,1.0,6,1.0,8
7,2,0.012,0.003,0.03,NEXT_STEP,1,0.035846322306453,0.017286991464163,1.0086703891183848,-0.177388230897212,Fault_Interface,14,0.0,0.0,0.3,1.0086703891183848,-0.177388230897212,,,,,,,,,,,,,,10.947320231857905,63.35299760041254,52.40567736855464,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.485450245849018,1.9941451659582603,GENROU_5,8,GENROU_2,2,1.0,1,1.0,2,1.0,3,1.0,6,1.0,8
9,2,0.015,0.003,0.03,NEXT_STEP,1,0.0358463223064473,0.0172869914641726,1.0086703876055818,-0.1773882324026065,Fault_Interface,14,0.0,0.0,0.3,1.0086703876055818,-0.1773882324026065,,,,,,,,,,,,,,10.947320231857905,63.35299760041254,52.40567736855464,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.4854502524531463,1.99414516990547,GENROU_5,8,GENROU_2,2,1.0,1,1.0,2,1.0,3,1.0,6,1.0,8
10,1,0.018,0.003,0.03,NEXT_STEP,0,0.0358463223064473,0.0172869914641726,1.0086703861554616,-0.1773882338294797,Fault_Interface,14,0.0,0.0,0.3,1.0086703861554616,-0.1773882338294797,,,,,,,,,,,,,,10.947320231857905,63.35299760041254,52.40567736855464,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.4854502603049229,1.994145177324895,GENROU_5,8,GENROU_2,2,1.0,1,1.0,2,1.0,3,1.0,6,1.0,8
11,1,0.021,0.003,0.03,NEXT_STEP,0,0.0358463223064473,0.0172869914641726,1.008670384765323,-0.1773882351825552,Fault_Interface,14,0.0,0.0,0.3,1.008670384765323,-0.1773882351825552,,,,,,,,,,,,,,10.947320231857905,63.35299760041254,52.40567736855464,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.4854502688225286,1.9941451890332649,GENROU_5,8,GENROU_2,2,1.0,1,1.0,2,1.0,3,1.0,6,1.0,8
12,1,0.024,0.003,0.03,NEXT_STEP,0,0.0358463223064473,0.0172869914641726,1.0086703834331572,-0.1773882364697836,Fault_Interface,14,0.0,0.0,0.3,1.0086703834331572,-0.1773882364697836,,,,,,,,,,,,,,10.947320231857905,63.35299760041254,52.40567736855464,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.485450277618544,1.9941452056508369,GENROU_5,8,GENROU_2,2,1.0,1,1.0,2,1.0,3,1.0,6,1.0,8
13,1,0.027,0.003,0.03,NEXT_STEP,0,0.0358463223064473,0.0172869914641726,1.0086703821557452,-0.1773882376944215,Fault_Interface,14,0.0,0.0,0.3,1.0086703821557452,-0.1773882376944215,,,,,,,,,,,,,,10.947320231857905,63.35299760041254,52.40567736855464,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.485450286427776,1.9941452274059133,GENROU_5,8,GENROU_2,2,1.0,1,1.0,2,1.0,3,1.0,6,1.0,8
14,1,0.03,0.003,0.03,NEXT_STEP,0,0.0358463223064473,0.0172869914641726,1.0086703809350737,-0.1773882388688404,Fault_Interface,14,0.0,0.0,0.3,1.0086703809350737,-0.1773882388688404,,,,,,,,,,,,,,10.947320231857905,63.35299760041254,52.40567736855464,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.4854502950743158,1.9941452541838247,GENROU_5,8,GENROU_2,2,1.0,1,1.0,2,1.0,3,1.0,6,1.0,8
15,1,0.033,0.003,0.03,NEXT_STEP,0,0.0358463223064473,0.0172869914641726,1.0086703797655432,-0.1773882399907579,Fault_Interface,14,0.0,0.0,0.3,1.0086703797655432,-0.1773882399907579,,,,,,,,,,,,,,10.947320231857905,63.35299760041254,52.40567736855464,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.4854503034530795,1.9941452856230264,GENROU_5,8,GENROU_2,2,1.0,1,1.0,2,1.0,3,1.0,6,1.0,8
16,1,0.036,0.003,0.03,NEXT_STEP,0,0.0358463223064473,0.0172869914641726,1.0086703786446298,-0.1773882410638051,Fault_Interface,14,0.0,0.0,0.3,1.0086703786446298,-0.1773882410638051,,,,,,,,,,,,,,10.947320231857905,63.35299760041254,52.40567736855464,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.4854503114871644,1.9941453212005007,GENROU_5,8,GENROU_2,2,1.0,1,1.0,2,1.0,3,1.0,6,1.0,8
18,2,0.039,0.003,0.03,NEXT_STEP,0,0.0358463223055166,0.0172869914635993,1.0086703775710322,-0.1773882420907986,Fault_Interface,14,0.0,0.0,0.3,1.0086703775710322,-0.1773882420907986,,,,,,,,,,,,,,10.947320231857905,63.35299760041254,52.40567736855464,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.485450319138616,1.994145360299197,GENROU_5,8,GENROU_2,2,1.0,1,1.0,2,1.0,3,1.0,6,1.0,8
20,2,0.042,0.003,0.03,NEXT_STEP,1,0.0358463223064373,0.0172869914641466,1.008670376541001,-0.1773882430757151,Fault_Interface,14,0.0,0.0,0.3,1.008670376541001,-0.1773882430757151,,,,,,,,,,,,,,10.947320231857905,63.35299760041254,52.40567736855464,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.4854503263978562,1.9941454022606644,GENROU_5,8,GENROU_2,2,1.0,1,1.0,2,1.0,3,1.0,6,1.0,8
22,2,0.045,0.003,0.03,NEXT_STEP,0,0.0358463223064505,0.0172869914641516,1.0086703755539148,-0.1773882440200768,Fault_Interface,14,0.0,0.0,0.3,1.0086703755539148,-0.1773882440200768,,,,,,,,,,,,,,10.947320231857905,63.35299760041254,52.40567736855464,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.485450333249254,1.9941454464243011,GENROU_5,8,GENROU_2,2,1.0,1,1.0,2,1.0,3,1.0,6,1.0,8
23,1,0.048,0.003,0.03,NEXT_STEP,0,0.0358463223064505,0.0172869914641516,1.0086703746081302,-0.1773882449271659,Fault_Interface,14,0.0,0.0,0.3,1.0086703746081302,-0.1773882449271659,,,,,,,,,,,,,,10.947320231857905,63.35299760041254,52.40567736855464,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.4854503397218954,1.9941454921558923,GENROU_5,8,GENROU_2,2,1.0,1,1.0,2,1.0,3,1.0,6,1.0,8
