iter,outer_iter,t_granted,cosim_dt,tx_tds_step,state,updated,P_total,Q_total,Vmag,Vang_rad,fault_idx,fault_bus,fault_active,fault_rf,fault_xf,fault_bus_vmag,fault_bus_vang_rad,event_line_idx,event_bus1,event_bus2,event_line_status,event_bus1_vmag,event_bus1_vang_rad,event_bus2_vmag,event_bus2_vang_rad,event_bus_angle_diff_deg,postfault_line_idx,postfault_bus1,postfault_bus2,postfault_line_status,delta_min_deg,delta_max_deg,delta_spread_deg,delta_min_idx,delta_min_bus,delta_max_idx,delta_max_bus,omega_min_pu,omega_max_pu,omega_max_dev,omega_min_idx,omega_min_bus,omega_max_idx,omega_max_bus,vf_min_pu,vf_max_pu,vf_min_idx,vf_min_bus,vf_max_idx,vf_max_bus
0,0,0.0,0.0,0.03,INITIALIZED,1,0.035846100926392815,0.01728679908322745,1.0086704880729853,-0.17738817182086397,Fault_Interface,14,0.0,0.0,0.3,1.0086704880729853,-0.17738817182086397,,,,,,,,,,,,,,10.947320231857903,63.35299760041254,52.40567736855464,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.4854502589312455,1.9941451634926717,GENROU_5,8,GENROU_2,2
1,1,0.003,0.003,0.03,NEXT_STEP,0,0.035846100926392815,0.01728679908322745,1.0086704880729853,-0.17738817182086397,Fault_Interface,14,0.0,0.0,0.3,1.0086704880729853,-0.17738817182086397,,,,,,,,,,,,,,10.947320231857903,63.35299760041254,52.40567736855464,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.4854502589312455,1.9941451634926717,GENROU_5,8,GENROU_2,2
3,2,0.006,0.003,0.03,NEXT_STEP,1,0.03584631319521205,0.017286984392903992,1.008670395103589,-0.17738822622666395,Fault_Interface,14,0.0,0.0,0.3,1.008670395103589,-0.17738822622666395,,,,,,,,,,,,,,10.947320231857903,63.35299760041254,52.40567736855464,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.485450259495788,1.9941451637526486,GENROU_5,8,GENROU_2,2
5,2,0.009000000000000001,0.003,0.03,NEXT_STEP,1,0.035846322299119854,0.017286991458284946,1.008670390653446,-0.17738822936087886,Fault_Interface,14,0.0,0.0,0.3,1.008670390653446,-0.17738822936087886,,,,,,,,,,,,,,10.947320231857903,63.35299760041254,52.40567736855464,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.485450242474655,1.9941451642567252,GENROU_5,8,GENROU_2,2
7,2,0.012,0.003,0.03,NEXT_STEP,1,0.03584632230645302,0.01728699146416302,1.0086703891183848,-0.17738823089721206,Fault_Interface,14,0.0,0.0,0.3,1.0086703891183848,-0.17738823089721206,,,,,,,,,,,,,,10.947320231857903,63.35299760041254,52.40567736855464,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.485450245849018,1.9941451659582605,GENROU_5,8,GENROU_2,2
9,2,0.015000000000000001,0.003,0.03,NEXT_STEP,1,0.03584632230644732,0.017286991464172615,1.0086703876055818,-0.1773882324026065,Fault_Interface,14,0.0,0.0,0.3,1.0086703876055818,-0.1773882324026065,,,,,,,,,,,,,,10.947320231857903,63.35299760041254,52.40567736855464,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.4854502524531465,1.99414516990547,GENROU_5,8,GENROU_2,2
10,1,0.018000000000000002,0.003,0.03,NEXT_STEP,0,0.03584632230644732,0.017286991464172615,1.0086703861554616,-0.17738823382947977,Fault_Interface,14,0.0,0.0,0.3,1.0086703861554616,-0.17738823382947977,,,,,,,,,,,,,,10.947320231857903,63.35299760041254,52.40567736855464,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.4854502603049227,1.994145177324895,GENROU_5,8,GENROU_2,2
11,1,0.021,0.003,0.03,NEXT_STEP,0,0.03584632230644732,0.017286991464172615,1.008670384765323,-0.17738823518255525,Fault_Interface,14,0.0,0.0,0.3,1.008670384765323,-0.17738823518255525,,,,,,,,,,,,,,10.947320231857903,63.35299760041254,52.40567736855464,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.4854502688225286,1.9941451890332647,GENROU_5,8,GENROU_2,2
12,1,0.024,0.003,0.03,NEXT_STEP,0,0.03584632230644732,0.017286991464172615,1.0086703834331572,-0.17738823646978363,Fault_Interface,14,0.0,0.0,0.3,1.0086703834331572,-0.17738823646978363,,,,,,,,,,,,,,10.947320231857903,63.35299760041254,52.40567736855464,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.4854502776185439,1.9941452056508366,GENROU_5,8,GENROU_2,2
13,1,0.027000000000000003,0.003,0.03,NEXT_STEP,0,0.03584632230644732,0.017286991464172615,1.0086703821557452,-0.1773882376944215,Fault_Interface,14,0.0,0.0,0.3,1.0086703821557452,-0.1773882376944215,,,,,,,,,,,,,,10.947320231857903,63.35299760041254,52.40567736855464,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.485450286427776,1.9941452274059133,GENROU_5,8,GENROU_2,2
14,1,0.030000000000000002,0.003,0.03,NEXT_STEP,0,0.03584632230644732,0.017286991464172615,1.0086703809350737,-0.17738823886884042,Fault_Interface,14,0.0,0.0,0.3,1.0086703809350737,-0.17738823886884042,,,,,,,,,,,,,,10.947320231857903,63.35299760041254,52.40567736855464,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.4854502950743158,1.9941452541838247,GENROU_5,8,GENROU_2,2
15,1,0.033,0.003,0.03,NEXT_STEP,0,0.03584632230644732,0.017286991464172615,1.0086703797655432,-0.17738823999075798,Fault_Interface,14,0.0,0.0,0.3,1.0086703797655432,-0.17738823999075798,,,,,,,,,,,,,,10.947320231857903,63.35299760041254,52.40567736855464,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.4854503034530795,1.9941452856230264,GENROU_5,8,GENROU_2,2
