mode_index,real_part,imag_part,freq_hz,damping_ratio,stability
49,-5.994630332553848e-13,0.0,0.0,1.0,zero
50,-0.037121517160124615,0.030390689510514598,0.004836828459569412,0.7737678743421025,stable
51,-0.037121517160124615,-0.030390689510514598,0.004836828459569412,0.7737678743421025,stable
39,-0.05458153516717249,1.6237094604436206,0.2584213867746765,0.033596357165196954,stable
40,-0.05458153516717249,-1.6237094604436206,0.2584213867746765,0.033596357165196954,stable
54,-0.060742879779470946,0.039369389214101415,0.006265832899932989,0.8391592654934023,stable
55,-0.060742879779470946,-0.039369389214101415,0.006265832899932989,0.8391592654934023,stable
56,-0.06656447273364097,0.0505784301422544,0.008049807170967904,0.7962230944560071,stable
57,-0.06656447273364097,-0.0505784301422544,0.008049807170967904,0.7962230944560071,stable
37,-0.06889523309422532,1.774843953292303,0.28247518838323105,0.03878841607369366,stable
38,-0.06889523309422532,-1.774843953292303,0.28247518838323105,0.03878841607369366,stable
35,-0.07263230759699799,1.848802424397832,0.2942460446431951,0.03925585614851186,stable
36,-0.07263230759699799,-1.848802424397832,0.2942460446431951,0.03925585614851186,stable
52,-0.07285271843485397,0.06579392325482904,0.010471428111414846,0.7421458750698794,stable
53,-0.07285271843485397,-0.06579392325482904,0.010471428111414846,0.7421458750698794,stable
33,-0.10688284955618894,2.4308448723802627,0.3868809773289063,0.04392698254157974,stable
34,-0.10688284955618894,-2.4308448723802627,0.3868809773289063,0.04392698254157974,stable
47,-0.15799561117567898,0.13194368400819922,0.020999489519659967,0.767550269043282,stable
48,-0.15799561117567898,-0.13194368400819922,0.020999489519659967,0.767550269043282,stable
58,-0.225147747222468,0.0,0.0,1.0,stable
59,-0.22530652582891056,0.0,0.0,1.0,stable
60,-0.2256391256693539,7.742533698435809e-05,1.2322625101616332e-05,0.999999941128194,stable
61,-0.2256391256693539,-7.742533698435809e-05,1.2322625101616332e-05,0.999999941128194,stable
45,-0.488688291668087,0.20623117987004502,0.03282271169599145,0.9213197229475857,stable
46,-0.488688291668087,-0.20623117987004502,0.03282271169599145,0.9213197229475857,stable
41,-2.4329167499856146,0.0,0.0,1.0,stable
44,-2.478052850329418,0.0,0.0,1.0,stable
43,-2.484030797343828,0.0,0.0,1.0,stable
42,-2.4927838735681127,0.0,0.0,1.0,stable
32,-36.22874929728418,0.0,0.0,1.0,stable
31,-51.358695084079656,0.0,0.0,1.0,stable
30,-52.85678911265841,0.0,0.0,1.0,stable
29,-55.93945973788355,0.0,0.0,1.0,stable
28,-57.32087549432213,0.0,0.0,1.0,stable
26,-99.90495653204971,0.0,0.0,1.0,stable
27,-99.94377465210341,0.0,0.0,1.0,stable
20,-317.1297961173007,0.0,0.0,1.0,stable
21,-397.04305651367997,6.6783623956484535,1.0628943870264835,0.9998585696500132,stable
22,-397.04305651367997,-6.6783623956484535,1.0628943870264835,0.9998585696500132,stable
23,-399.85119253840276,0.0,0.0,1.0,stable
25,-399.90480289925944,0.0,0.0,1.0,stable
24,-399.90481373880317,0.0,0.0,1.0,stable
19,-464.46173379606796,0.0,0.0,1.0,stable
18,-516.1300146804004,0.0,0.0,1.0,stable
17,-647.8013861144283,0.0,0.0,1.0,stable
16,-739.204801629408,0.0,0.0,1.0,stable
15,-852.6522057437304,0.0,0.0,1.0,stable
14,-948.830639498276,0.0,0.0,1.0,stable
9,-1142.3301754026372,0.0,0.0,1.0,stable
8,-2499.8648472148748,0.0,0.0,1.0,stable
0,-2500.0,0.0,0.0,1.0,stable
1,-2500.0,0.0,0.0,1.0,stable
13,-2500.000002805701,0.0,0.0,1.0,stable
12,-2500.00002001539,0.0,0.0,1.0,stable
11,-2500.000023304472,0.0,0.0,1.0,stable
10,-2500.0000444355946,0.0,0.0,1.0,stable
2,-2500.2286155344764,1767.9757088787546,281.38207333445155,0.8164893300225051,stable
3,-2500.2286155344764,-1767.9757088787546,281.38207333445155,0.8164893300225051,stable
7,-3836.207650967046,0.0,0.0,1.0,stable
6,-3895.6455978401887,0.0,0.0,1.0,stable
5,-3942.2265504798697,0.0,0.0,1.0,stable
4,-4000.674211795755,0.0,0.0,1.0,stable
