t_granted,feeder,iter,state,vupdate,source_v_pu,source_ang_deg,dist_bus,vavg_pu,va_pu,vb_pu,vc_pu
0.0,1,40,ITERATING,True,0.947199,-0.921726,regxfmr_hvmv_sub_lsb,0.932001,0.932333,0.931983,0.931686
0.01,1,41,NEXT_STEP,False,0.947199,-0.921726,regxfmr_hvmv_sub_lsb,0.932001,0.932333,0.931983,0.931686
0.02,1,44,NEXT_STEP,False,0.947199,-0.922443,regxfmr_hvmv_sub_lsb,0.932001,0.932333,0.931983,0.931686
0.03,1,47,NEXT_STEP,False,0.947199,-0.922901,regxfmr_hvmv_sub_lsb,0.932001,0.932333,0.931983,0.931686
0.04,1,50,NEXT_STEP,False,0.947199,-0.923195,regxfmr_hvmv_sub_lsb,0.932001,0.932333,0.931983,0.931686
0.05,1,53,NEXT_STEP,False,0.947199,-0.923383,regxfmr_hvmv_sub_lsb,0.932001,0.932333,0.931983,0.931686
0.06,1,56,NEXT_STEP,False,0.947199,-0.923503,regxfmr_hvmv_sub_lsb,0.932001,0.932333,0.931983,0.931686
0.07,1,59,NEXT_STEP,False,0.947199,-0.92358,regxfmr_hvmv_sub_lsb,0.932001,0.932333,0.931983,0.931686
0.08,1,62,NEXT_STEP,False,0.947199,-0.923629,regxfmr_hvmv_sub_lsb,0.932001,0.932333,0.931983,0.931686
0.09,1,64,NEXT_STEP,False,0.947199,-0.923646,regxfmr_hvmv_sub_lsb,0.932001,0.932333,0.931983,0.931686
0.1,1,67,NEXT_STEP,False,0.947199,-0.923672,regxfmr_hvmv_sub_lsb,0.932001,0.932333,0.931983,0.931686
0.11,1,70,NEXT_STEP,False,0.947199,-0.923688,regxfmr_hvmv_sub_lsb,0.932001,0.932333,0.931983,0.931686
0.12,1,72,NEXT_STEP,False,0.947199,-0.923694,regxfmr_hvmv_sub_lsb,0.932001,0.932333,0.931983,0.931686
0.13,1,74,NEXT_STEP,False,0.947199,-0.923698,regxfmr_hvmv_sub_lsb,0.932001,0.932333,0.931983,0.931686
0.14,1,76,NEXT_STEP,False,0.947199,-0.923702,regxfmr_hvmv_sub_lsb,0.932001,0.932333,0.931983,0.931686
0.15,1,78,NEXT_STEP,False,0.947199,-0.923705,regxfmr_hvmv_sub_lsb,0.932001,0.932333,0.931983,0.931686
0.16,1,80,NEXT_STEP,False,0.947199,-0.923707,regxfmr_hvmv_sub_lsb,0.932001,0.932333,0.931983,0.931686
0.17,1,82,NEXT_STEP,False,0.947199,-0.923709,regxfmr_hvmv_sub_lsb,0.932001,0.932333,0.931983,0.931686
0.18,1,84,NEXT_STEP,False,0.947199,-0.92371,regxfmr_hvmv_sub_lsb,0.932001,0.932333,0.931983,0.931686
0.19,1,86,NEXT_STEP,False,0.947199,-0.923712,regxfmr_hvmv_sub_lsb,0.932001,0.932333,0.931983,0.931686
0.2,1,88,NEXT_STEP,False,0.947199,-0.923713,regxfmr_hvmv_sub_lsb,0.932001,0.932333,0.931983,0.931686
0.21,1,90,NEXT_STEP,False,0.947199,-0.923713,regxfmr_hvmv_sub_lsb,0.932001,0.932333,0.931983,0.931686
0.22,1,92,NEXT_STEP,False,0.947199,-0.923714,regxfmr_hvmv_sub_lsb,0.932001,0.932333,0.931983,0.931686
0.23,1,94,NEXT_STEP,False,0.947199,-0.923714,regxfmr_hvmv_sub_lsb,0.932001,0.932333,0.931983,0.931686
0.24,1,96,NEXT_STEP,False,0.947199,-0.923715,regxfmr_hvmv_sub_lsb,0.932001,0.932333,0.931983,0.931686
0.25,1,98,NEXT_STEP,False,0.947199,-0.923715,regxfmr_hvmv_sub_lsb,0.932001,0.932333,0.931983,0.931686
0.26,1,100,NEXT_STEP,False,0.947199,-0.923715,regxfmr_hvmv_sub_lsb,0.932001,0.932333,0.931983,0.931686
0.27,1,102,NEXT_STEP,False,0.947199,-0.923716,regxfmr_hvmv_sub_lsb,0.932001,0.932333,0.931983,0.931686
0.28,1,104,NEXT_STEP,False,0.947199,-0.923716,regxfmr_hvmv_sub_lsb,0.932001,0.932333,0.931983,0.931686
