iter,t_granted,state,P_total,Q_total,updated,n_feeders,Vmag,Vang_rad
1,0.0,ITERATING,1.0773,0.1863,10,10,0.946313,-0.022709
2,0.0,ITERATING,1.0597,0.1839,10,10,0.946405,-0.022696
3,0.0,ITERATING,1.0482,0.1821,10,10,0.946663,-0.020544
4,0.0,ITERATING,1.0406,0.1808,10,10,0.94685,-0.018979
5,0.0,ITERATING,1.0356,0.1799,10,10,0.946976,-0.017933
6,0.0,ITERATING,1.0326,0.1793,10,10,0.947051,-0.017317
7,0.0,ITERATING,1.0305,0.1789,10,10,0.947107,-0.016872
8,0.0,ITERATING,1.0292,0.1787,10,10,0.947139,-0.016606
9,0.0,ITERATING,1.0284,0.1785,10,10,0.947161,-0.01643
10,0.0,ITERATING,1.028,0.1784,10,10,0.947172,-0.016341
11,0.0,ITERATING,1.0275,0.1783,10,10,0.947183,-0.016254
12,0.0,ITERATING,1.0273,0.1783,10,10,0.947188,-0.016209
13,0.0,ITERATING,1.0271,0.1783,10,10,0.947193,-0.016166
14,0.0,ITERATING,1.0271,0.1783,10,10,0.947193,-0.016165
15,0.0,ITERATING,1.0271,0.1783,10,10,0.947193,-0.016165
16,0.0,ITERATING,1.0269,0.1782,10,10,0.947197,-0.016122
17,0.0,ITERATING,1.0269,0.1782,10,10,0.947198,-0.016122
18,0.0,ITERATING,1.0269,0.1782,10,10,0.947198,-0.016122
19,0.0,ITERATING,1.0269,0.1782,10,10,0.947198,-0.016122
20,0.0,ITERATING,1.0269,0.1782,10,10,0.947198,-0.016122
21,0.0,ITERATING,1.0269,0.1782,10,10,0.947198,-0.016122
22,0.0,ITERATING,1.0269,0.1782,10,10,0.947198,-0.016122
23,0.0,ITERATING,1.0269,0.1782,10,10,0.947198,-0.016122
24,0.0,ITERATING,1.0269,0.1782,10,10,0.947198,-0.016122
25,0.0,ITERATING,1.0269,0.1782,10,10,0.947198,-0.016122
26,0.0,ITERATING,1.0269,0.1782,10,10,0.947198,-0.016122
27,0.0,ITERATING,1.0269,0.1782,10,10,0.947198,-0.016122
28,0.0,ITERATING,1.0269,0.1782,10,10,0.947199,-0.016122
29,0.0,ITERATING,1.0269,0.1782,10,10,0.947199,-0.016122
30,0.0,ITERATING,1.0269,0.1782,10,10,0.947199,-0.016122
31,0.0,ITERATING,1.0269,0.1782,10,10,0.947199,-0.016122
32,0.0,ITERATING,1.0269,0.1782,10,10,0.947199,-0.016122
33,0.0,ITERATING,1.0269,0.1782,10,10,0.947199,-0.016122
34,0.0,ITERATING,1.0269,0.1782,10,10,0.947199,-0.016122
35,0.0,ITERATING,1.0269,0.1782,10,10,0.947199,-0.016122
