t_granted,feeder,iter,state,vupdate,source_v_pu,source_ang_deg,dist_bus,vavg_pu,va_pu,vb_pu,vc_pu,vpos_pu,alert_signal,alert_bus,alert_v_pu,alert_vpos_pu,alert_vavg_pu,fidvr_stage,tx_v_pu,motor_p_scale,motor_q_scale,caps_on,cap_fraction,tap_pu,restore_frac,motor_slip_avg,motor_slip_max,motor_pf_avg,motor_running_groups,motor_stalled_groups,motor_tripped_groups,motor_restoring_groups,dynamics_enabled,tap_reg1,tap_reg2,tap_reg3
0.005,1,1,NEXT_STEP,False,1.002483,-5.141435,675,0.6434,0.562049,0.847147,0.521004,0.642286,dist_bus,675,0.642286,0.642286,0.6434,BASELINE,1.002483,1.0,1.0,True,1.0,1.05,1.0,,,,12,0,0,0,False,1.05625,1.0375,1.05625
0.01,1,2,NEXT_STEP,False,1.002483,-5.141435,675,0.6434,0.562049,0.847147,0.521004,0.642286,dist_bus,675,0.642286,0.642286,0.6434,BASELINE,1.002483,1.0,1.0,True,1.0,1.05,1.0,,,,12,0,0,0,False,1.05625,1.0375,1.05625
0.015,1,3,NEXT_STEP,False,1.002483,-5.141435,675,0.6434,0.562049,0.847147,0.521004,0.642286,dist_bus,675,0.642286,0.642286,0.6434,BASELINE,1.002483,1.0,1.0,True,1.0,1.05,1.0,,,,12,0,0,0,False,1.05625,1.0375,1.05625
0.02,1,4,NEXT_STEP,False,1.002483,-5.141435,675,0.6434,0.562049,0.847147,0.521004,0.642286,dist_bus,675,0.642286,0.642286,0.6434,BASELINE,1.002483,1.0,1.0,True,1.0,1.05,1.0,,,,12,0,0,0,False,1.05625,1.0375,1.05625
0.025,1,5,NEXT_STEP,False,1.002483,-5.141435,675,0.6434,0.562049,0.847147,0.521004,0.642286,dist_bus,675,0.642286,0.642286,0.6434,BASELINE,1.002483,1.0,1.0,True,1.0,1.05,1.0,,,,12,0,0,0,False,1.05625,1.0375,1.05625
0.03,1,6,NEXT_STEP,False,1.002483,-5.141435,675,0.6434,0.562049,0.847147,0.521004,0.642286,dist_bus,675,0.642286,0.642286,0.6434,BASELINE,1.002483,1.0,1.0,True,1.0,1.05,1.0,,,,12,0,0,0,False,1.05625,1.0375,1.05625
0.035,1,7,NEXT_STEP,False,1.002483,-5.141435,675,0.6434,0.562049,0.847147,0.521004,0.642286,dist_bus,675,0.642286,0.642286,0.6434,BASELINE,1.002483,1.0,1.0,True,1.0,1.05,1.0,,,,12,0,0,0,False,1.05625,1.0375,1.05625
0.04,1,8,NEXT_STEP,False,1.002483,-5.141435,675,0.6434,0.562049,0.847147,0.521004,0.642286,dist_bus,675,0.642286,0.642286,0.6434,BASELINE,1.002483,1.0,1.0,True,1.0,1.05,1.0,,,,12,0,0,0,False,1.05625,1.0375,1.05625
0.045,1,9,NEXT_STEP,False,1.002483,-5.141435,675,0.6434,0.562049,0.847147,0.521004,0.642286,dist_bus,675,0.642286,0.642286,0.6434,BASELINE,1.002483,1.0,1.0,True,1.0,1.05,1.0,,,,12,0,0,0,False,1.05625,1.0375,1.05625
0.05,1,10,NEXT_STEP,False,1.002483,-5.141435,675,0.6434,0.562049,0.847147,0.521004,0.642286,dist_bus,675,0.642286,0.642286,0.6434,BASELINE,1.002483,1.0,1.0,True,1.0,1.05,1.0,,,,12,0,0,0,False,1.05625,1.0375,1.05625
0.055,1,11,NEXT_STEP,False,1.002483,-5.141435,675,0.6434,0.562049,0.847147,0.521004,0.642286,dist_bus,675,0.642286,0.642286,0.6434,BASELINE,1.002483,1.0,1.0,True,1.0,1.05,1.0,,,,12,0,0,0,False,1.05625,1.0375,1.05625
0.06,1,12,NEXT_STEP,False,1.002483,-5.141435,675,0.6434,0.562049,0.847147,0.521004,0.642286,dist_bus,675,0.642286,0.642286,0.6434,BASELINE,1.002483,1.0,1.0,True,1.0,1.05,1.0,,,,12,0,0,0,False,1.05625,1.0375,1.05625
0.065,1,13,NEXT_STEP,False,1.002483,-5.141435,675,0.6434,0.562049,0.847147,0.521004,0.642286,dist_bus,675,0.642286,0.642286,0.6434,BASELINE,1.002483,1.0,1.0,True,1.0,1.05,1.0,,,,12,0,0,0,False,1.05625,1.0375,1.05625
0.07,1,14,NEXT_STEP,False,1.002483,-5.141435,675,0.6434,0.562049,0.847147,0.521004,0.642286,dist_bus,675,0.642286,0.642286,0.6434,BASELINE,1.002483,1.0,1.0,True,1.0,1.05,1.0,,,,12,0,0,0,False,1.05625,1.0375,1.05625
0.075,1,15,NEXT_STEP,False,1.002483,-5.141435,675,0.6434,0.562049,0.847147,0.521004,0.642286,dist_bus,675,0.642286,0.642286,0.6434,BASELINE,1.002483,1.0,1.0,True,1.0,1.05,1.0,,,,12,0,0,0,False,1.05625,1.0375,1.05625
0.08,1,16,NEXT_STEP,False,1.002483,-5.141435,675,0.6434,0.562049,0.847147,0.521004,0.642286,dist_bus,675,0.642286,0.642286,0.6434,BASELINE,1.002483,1.0,1.0,True,1.0,1.05,1.0,,,,12,0,0,0,False,1.05625,1.0375,1.05625
0.085,1,17,NEXT_STEP,False,1.002483,-5.141435,675,0.6434,0.562049,0.847147,0.521004,0.642286,dist_bus,675,0.642286,0.642286,0.6434,BASELINE,1.002483,1.0,1.0,True,1.0,1.05,1.0,,,,12,0,0,0,False,1.05625,1.0375,1.05625
0.09,1,18,NEXT_STEP,False,1.002483,-5.141435,675,0.6434,0.562049,0.847147,0.521004,0.642286,dist_bus,675,0.642286,0.642286,0.6434,BASELINE,1.002483,1.0,1.0,True,1.0,1.05,1.0,,,,12,0,0,0,False,1.05625,1.0375,1.05625
0.095,1,19,NEXT_STEP,False,1.002483,-5.141435,675,0.6434,0.562049,0.847147,0.521004,0.642286,dist_bus,675,0.642286,0.642286,0.6434,BASELINE,1.002483,1.0,1.0,True,1.0,1.05,1.0,,,,12,0,0,0,False,1.05625,1.0375,1.05625
