iter,outer_iter,t_granted,cosim_dt,tx_tds_step,state,updated,P_total,Q_total,Vmag,Vang_rad,fault_idx,fault_bus,fault_active,fault_rf,fault_xf,fault_bus_vmag,fault_bus_vang_rad,event_line_idx,event_bus1,event_bus2,event_line_status,event_bus1_vmag,event_bus1_vang_rad,event_bus2_vmag,event_bus2_vang_rad,event_bus_angle_diff_deg,postfault_line_idx,postfault_bus1,postfault_bus2,postfault_line_status,delta_min_deg,delta_max_deg,delta_spread_deg,delta_min_idx,delta_min_bus,delta_max_idx,delta_max_bus,omega_min_pu,omega_max_pu,omega_max_dev,omega_min_idx,omega_min_bus,omega_max_idx,omega_max_bus,vf_min_pu,vf_max_pu,vf_min_idx,vf_min_bus,vf_max_idx,vf_max_bus
0,0,0.0,0.0,0.001,INITIALIZED,1,0.0360273339883278,0.016981920895916,1.03,-0.0326624075222781,,,,,,,,Line_3,2,3,1.0,1.03,-0.0326624075222781,1.01,-0.0634056691422442,1.7614591392905936,Line_3,2,3,1.0,11.664097904458096,63.50034463342252,51.836246728964426,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.47135509938404,2.033928865595403,GENROU_5,8,GENROU_2,2
1,1,0.005,0.005,0.001,NEXT_STEP,0,0.0360273339883278,0.016981920895916,1.03,-0.0326624075222781,,,,,,,,Line_3,2,3,1.0,1.03,-0.0326624075222781,1.01,-0.0634056691422442,1.7614591392905936,Line_3,2,3,1.0,11.664097904458096,63.50034463342252,51.836246728964426,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.47135509938404,2.033928865595403,GENROU_5,8,GENROU_2,2
3,2,0.01,0.005,0.001,NEXT_STEP,1,0.0360271933825834,0.0169817966353493,1.03000001406883,-0.032662394854486,,,,,,,,Line_3,2,3,1.0,1.03000001406883,-0.032662394854486,1.0100000096398265,-0.0634056589565609,1.7614592815049548,Line_3,2,3,1.0,11.664097904458096,63.50034463342252,51.836246728964426,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.4713551036421664,2.033928865483952,GENROU_5,8,GENROU_2,2
5,2,0.015,0.005,0.001,NEXT_STEP,1,0.0360271933806459,0.0169817966335518,1.0300000152454991,-0.0326623937513669,,,,,,,,Line_3,2,3,1.0,1.0300000152454991,-0.0326623937513669,1.0100000106571838,-0.0634056578568526,1.761459281700354,Line_3,2,3,1.0,11.664097904458096,63.50034463342252,51.836246728964426,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.4713551012042765,2.0339288618915767,GENROU_5,8,GENROU_2,2
7,2,0.02,0.005,0.001,NEXT_STEP,1,0.0360271933819342,0.0169817966346775,1.0300000163313436,-0.032662392747792,,,,,,,,Line_3,2,3,1.0,1.0300000163313436,-0.032662392747792,1.0100000116086187,-0.0634056568508294,1.761459281560093,Line_3,2,3,1.0,11.664097904458096,63.50034463342252,51.836246728964426,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.471355098043324,2.033928847966952,GENROU_5,8,GENROU_2,2
8,1,0.025,0.005,0.001,NEXT_STEP,0,0.0360271933819342,0.0169817966346775,1.0300000173325352,-0.0326623918221621,,,,,,,,Line_3,2,3,1.0,1.0300000173325352,-0.0326623918221621,1.0100000124957051,-0.0634056559189196,1.761459281200274,Line_3,2,3,1.0,11.664097904458096,63.50034463342252,51.836246728964426,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.4713550944465792,2.0339288225446297,GENROU_5,8,GENROU_2,2
9,1,0.03,0.005,0.001,NEXT_STEP,0,0.0360271933819342,0.0169817966346775,1.0300000182589253,-0.032662390969425,,,,,,,,Line_3,2,3,1.0,1.0300000182589253,-0.032662390969425,1.010000013324979,-0.0634056550566987,1.7614592806569078,Line_3,2,3,1.0,11.664097904458096,63.50034463342252,51.836246728964426,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.47135509070114,2.0339287866896867,GENROU_5,8,GENROU_2,2
10,1,0.035,0.005,0.001,NEXT_STEP,0,0.0360271933819342,0.0169817966346775,1.0300000191257186,-0.0326623902012946,,,,,,,,Line_3,2,3,1.0,1.0300000191257186,-0.0326623902012946,1.0100000141124306,-0.0634056542888918,1.7614592806754388,Line_3,2,3,1.0,11.664097904458096,63.50034463342252,51.836246728964426,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.471355087047372,2.033928742509833,GENROU_5,8,GENROU_2,2
11,1,0.04,0.005,0.001,NEXT_STEP,0,0.0360271933819342,0.0169817966346775,1.0300000199433357,-0.0326623895187966,,,,,,,,Line_3,2,3,1.0,1.0300000199433357,-0.0326623895187966,1.0100000148676982,-0.0634056536240131,1.7614592816849497,Line_3,2,3,1.0,11.664097904458096,63.50034463342252,51.836246728964426,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.4713550833818263,2.0339286924669384,GENROU_5,8,GENROU_2,2
12,1,0.045,0.005,0.001,NEXT_STEP,0,0.0360271933819342,0.0169817966346775,1.0300000206342763,-0.0326623888652087,,,,,,,,Line_3,2,3,1.0,1.0300000206342763,-0.0326623888652087,1.0100000155204245,-0.0634056529949573,1.7614592830905167,Line_3,2,3,1.0,11.664097904458096,63.50034463342252,51.836246728964426,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.4713550799970303,2.033928638948547,GENROU_5,8,GENROU_2,2
13,1,0.05,0.005,0.001,NEXT_STEP,0,0.0360271933819342,0.0169817966346775,1.0300000213332683,-0.0326623883712855,,,,,,,,Line_3,2,3,1.0,1.0300000213332683,-0.0326623883712855,1.010000016182652,-0.0634056525987447,1.7614592886889398,Line_3,2,3,1.0,11.664097904458096,63.50034463342252,51.836246728964426,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.4713550767583214,2.0339285840549173,GENROU_5,8,GENROU_2,2
14,1,0.055,0.005,0.001,NEXT_STEP,0,0.0360271933819342,0.0169817966346775,1.0300000220167962,-0.0326623879317607,,,,,,,,Line_3,2,3,1.0,1.0300000220167962,-0.0326623879317607,1.010000016827198,-0.0634056520479632,1.761459282314405,Line_3,2,3,1.0,11.664097904458096,63.50034463342252,51.836246728964426,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.4713550735985232,2.0339285294984446,GENROU_5,8,GENROU_2,2
