t_granted,feeder,iter,state,vupdate,source_v_pu,source_ang_deg,dist_bus,vavg_pu,va_pu,vb_pu,vc_pu,vpos_pu,alert_signal,alert_bus,alert_v_pu,alert_vpos_pu,alert_vavg_pu,fidvr_stage,tx_v_pu,motor_p_scale,motor_q_scale,caps_on,cap_fraction,tap_pu,restore_frac,motor_slip_avg,motor_slip_max,motor_pf_avg,motor_running_groups,motor_stalled_groups,motor_tripped_groups,motor_restoring_groups,dynamics_enabled,tap_reg1,tap_reg2,tap_reg3
0.005,1,2,ITERATING,True,1.03,-1.871418,650,1.029844,1.029818,1.029876,1.029838,1.029844,dist_bus,650,1.029844,1.029844,1.029844,DISABLED,1.03,1.0,1.0,True,1.0,1.05,1.0,,,,0,0,0,0,False,1.05625,1.0375,1.05625
0.01,1,4,ITERATING,True,1.03,-1.871417,650,1.029844,1.029818,1.029876,1.029838,1.029844,dist_bus,650,1.029844,1.029844,1.029844,DISABLED,1.03,1.0,1.0,True,1.0,1.05,1.0,,,,0,0,0,0,False,1.05625,1.0375,1.05625
0.015,1,6,ITERATING,True,1.03,-1.871417,650,1.029844,1.029818,1.029876,1.029838,1.029844,dist_bus,650,1.029844,1.029844,1.029844,DISABLED,1.03,1.0,1.0,True,1.0,1.05,1.0,,,,0,0,0,0,False,1.05625,1.0375,1.05625
0.02,1,8,ITERATING,True,1.03,-1.871417,650,1.029844,1.029818,1.029876,1.029838,1.029844,dist_bus,650,1.029844,1.029844,1.029844,DISABLED,1.03,1.0,1.0,True,1.0,1.05,1.0,,,,0,0,0,0,False,1.05625,1.0375,1.05625
0.025,1,10,ITERATING,True,1.03,-1.871417,650,1.029844,1.029818,1.029876,1.029838,1.029844,dist_bus,650,1.029844,1.029844,1.029844,DISABLED,1.03,1.0,1.0,True,1.0,1.05,1.0,,,,0,0,0,0,False,1.05625,1.0375,1.05625
0.03,1,12,ITERATING,True,1.03,-1.871417,650,1.029844,1.029818,1.029876,1.029838,1.029844,dist_bus,650,1.029844,1.029844,1.029844,DISABLED,1.03,1.0,1.0,True,1.0,1.05,1.0,,,,0,0,0,0,False,1.05625,1.0375,1.05625
0.035,1,14,ITERATING,True,1.03,-1.871417,650,1.029844,1.029818,1.029876,1.029838,1.029844,dist_bus,650,1.029844,1.029844,1.029844,DISABLED,1.03,1.0,1.0,True,1.0,1.05,1.0,,,,0,0,0,0,False,1.05625,1.0375,1.05625
0.04,1,16,ITERATING,True,1.03,-1.871417,650,1.029844,1.029818,1.029876,1.029838,1.029844,dist_bus,650,1.029844,1.029844,1.029844,DISABLED,1.03,1.0,1.0,True,1.0,1.05,1.0,,,,0,0,0,0,False,1.05625,1.0375,1.05625
0.045,1,18,ITERATING,True,1.03,-1.871417,650,1.029844,1.029818,1.029876,1.029838,1.029844,dist_bus,650,1.029844,1.029844,1.029844,DISABLED,1.03,1.0,1.0,True,1.0,1.05,1.0,,,,0,0,0,0,False,1.05625,1.0375,1.05625
0.05,1,20,ITERATING,True,1.03,-1.871417,650,1.029844,1.029818,1.029876,1.029838,1.029844,dist_bus,650,1.029844,1.029844,1.029844,DISABLED,1.03,1.0,1.0,True,1.0,1.05,1.0,,,,0,0,0,0,False,1.05625,1.0375,1.05625
