iter,outer_iter,t_granted,cosim_dt,tx_tds_step,state,updated,P_total,Q_total,Vmag,Vang_rad,fault_idx,fault_bus,fault_active,fault_rf,fault_xf,fault_bus_vmag,fault_bus_vang_rad,event_line_idx,event_bus1,event_bus2,event_line_status,event_bus1_vmag,event_bus1_vang_rad,event_bus2_vmag,event_bus2_vang_rad,event_bus_angle_diff_deg,postfault_line_idx,postfault_bus1,postfault_bus2,postfault_line_status,delta_min_deg,delta_max_deg,delta_spread_deg,delta_min_idx,delta_min_bus,delta_max_idx,delta_max_bus,omega_min_pu,omega_max_pu,omega_max_dev,omega_min_idx,omega_min_bus,omega_max_idx,omega_max_bus,vf_min_pu,vf_max_pu,vf_min_idx,vf_min_bus,vf_max_idx,vf_max_bus
0,0,0.0,0.0,0.001,INITIALIZED,1,0.03602733398832788,0.016981920895916068,1.03,-0.03266240752227813,,,,,,,,Line_3,2,3,1.0,1.03,-0.03266240752227813,1.01,-0.06340566914224428,1.7614591392905936,Line_3,2,3,1.0,11.664097904458096,63.50034463342252,51.836246728964426,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.4713550993840399,2.033928865595403,GENROU_5,8,GENROU_2,2
1,1,0.005,0.005,0.001,NEXT_STEP,0,0.03602733398832788,0.016981920895916068,1.03,-0.03266240752227813,,,,,,,,Line_3,2,3,1.0,1.03,-0.03266240752227813,1.01,-0.06340566914224428,1.7614591392905936,Line_3,2,3,1.0,11.664097904458096,63.50034463342252,51.836246728964426,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.4713550993840399,2.033928865595403,GENROU_5,8,GENROU_2,2
3,2,0.01,0.005,0.001,NEXT_STEP,1,0.03602719338258341,0.016981796635349385,1.03000001406883,-0.03266239485448603,,,,,,,,Line_3,2,3,1.0,1.03000001406883,-0.03266239485448603,1.0100000096398265,-0.06340565895656093,1.7614592815049548,Line_3,2,3,1.0,11.664097904458096,63.50034463342252,51.836246728964426,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.4713551036421664,2.0339288654839516,GENROU_5,8,GENROU_2,2
5,2,0.015000000000000001,0.005,0.001,NEXT_STEP,1,0.036027193380645924,0.016981796633551805,1.0300000152454991,-0.032662393751366904,,,,,,,,Line_3,2,3,1.0,1.0300000152454991,-0.032662393751366904,1.0100000106571838,-0.06340565785685262,1.761459281700354,Line_3,2,3,1.0,11.664097904458096,63.50034463342252,51.836246728964426,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.4713551012042765,2.0339288618915767,GENROU_5,8,GENROU_2,2
7,2,0.02,0.005,0.001,NEXT_STEP,1,0.03602719338193425,0.01698179663467751,1.0300000163313436,-0.03266239274779202,,,,,,,,Line_3,2,3,1.0,1.0300000163313436,-0.03266239274779202,1.0100000116086187,-0.06340565685082944,1.761459281560093,Line_3,2,3,1.0,11.664097904458096,63.50034463342252,51.836246728964426,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.4713550980433239,2.0339288479669517,GENROU_5,8,GENROU_2,2
8,1,0.025,0.005,0.001,NEXT_STEP,0,0.03602719338193425,0.01698179663467751,1.0300000173325352,-0.03266239182216218,,,,,,,,Line_3,2,3,1.0,1.0300000173325352,-0.03266239182216218,1.0100000124957051,-0.06340565591891963,1.761459281200274,Line_3,2,3,1.0,11.664097904458096,63.50034463342252,51.836246728964426,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.4713550944465792,2.0339288225446297,GENROU_5,8,GENROU_2,2
9,1,0.030000000000000002,0.005,0.001,NEXT_STEP,0,0.03602719338193425,0.01698179663467751,1.0300000182589253,-0.03266239096942506,,,,,,,,Line_3,2,3,1.0,1.0300000182589253,-0.03266239096942506,1.010000013324979,-0.06340565505669876,1.7614592806569078,Line_3,2,3,1.0,11.664097904458096,63.50034463342252,51.836246728964426,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.47135509070114,2.0339287866896867,GENROU_5,8,GENROU_2,2
10,1,0.035,0.005,0.001,NEXT_STEP,0,0.03602719338193425,0.01698179663467751,1.0300000191257186,-0.03266239020129466,,,,,,,,Line_3,2,3,1.0,1.0300000191257186,-0.03266239020129466,1.0100000141124306,-0.06340565428889186,1.7614592806754388,Line_3,2,3,1.0,11.664097904458096,63.50034463342252,51.836246728964426,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.471355087047372,2.033928742509833,GENROU_5,8,GENROU_2,2
11,1,0.04,0.005,0.001,NEXT_STEP,0,0.03602719338193425,0.01698179663467751,1.0300000199433357,-0.03266238951879669,,,,,,,,Line_3,2,3,1.0,1.0300000199433357,-0.03266238951879669,1.0100000148676982,-0.06340565362401314,1.7614592816849495,Line_3,2,3,1.0,11.664097904458096,63.50034463342252,51.836246728964426,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.4713550833818263,2.0339286924669384,GENROU_5,8,GENROU_2,2
12,1,0.045000000000000005,0.005,0.001,NEXT_STEP,0,0.03602719338193425,0.01698179663467751,1.0300000206342763,-0.03266238886520877,,,,,,,,Line_3,2,3,1.0,1.0300000206342763,-0.03266238886520877,1.0100000155204243,-0.06340565299495733,1.7614592830905167,Line_3,2,3,1.0,11.664097904458096,63.50034463342252,51.836246728964426,GENROU_4,6,GENROU_1,1,1.0,1.0,0.0,GENROU_1,1,GENROU_1,1,1.4713550799970303,2.033928638948547,GENROU_5,8,GENROU_2,2
